YEAR,REDTI,DEGREE DAYS,MONTH,old,YYYYMM
1895,66.8,1023.4,1,18951,189501
1896,45.5,919.8,1,18961,189601
1897,59.9,989.9,1,18971,189701
1898,40.3,894.8,1,18981,189801
1899,50.5,944.3,1,18991,189901
1900,33.7,862.5,1,19001,190001
1901,42.7,906.6,1,19011,190101
1902,54.2,962.2,1,19021,190201
1903,48.7,935.7,1,19031,190301
1904,74.5,1061.1,1,19041,190401
1905,69,1034.5,1,19051,190501
1906,26.1,825.8,1,19061,190601
1907,37.2,879.4,1,19071,190701
1908,41,898.3,1,19081,190801
1909,32.9,858.6,1,19091,190901
1910,51.4,948.5,1,19101,191001
1911,30.4,846.8,1,19111,191101
1912,86.5,1119.3,1,19121,191201
1913,28.8,838.6,1,19131,191301
1914,29.5,842.2,1,19141,191401
1915,53.3,958.1,1,19151,191501
1916,37.5,881.1,1,19161,191601
1917,51.3,948.4,1,19171,191701
1918,97.3,1171.9,1,19181,191801
1919,35.6,871.9,1,19191,191901
1920,65.2,1016,1,19201,192001
1921,29.3,841.2,1,19211,192101
1922,63.2,1005.9,1,19221,192201
1923,32,854.3,1,19231,192301
1924,61.9,1000,1,19241,192401
1925,56.1,971.7,1,19251,192501
1926,49.8,941,1,19261,192601
1927,45.1,918,1,19271,192701
1928,39.9,892.9,1,19281,192801
1929,60.6,993.6,1,19291,192901
1930,65.9,1019.3,1,19301,193001
1931,36.2,874.7,1,19311,193101
1932,17.3,783,1,19321,193201
1933,15.2,772.7,1,19331,193301
1934,24.8,819.4,1,19341,193401
1935,46.1,922.8,1,19351,193501
1936,64.4,1012.1,1,19361,193601
1937,43.6,911,1,19371,193701
1938,41.4,900.3,1,19381,193801
1939,31.6,852.2,1,19391,193901
1940,92.8,1149.9,1,19401,194001
1941,41.3,899.7,1,19411,194101
1942,51.2,947.8,1,19421,194201
1943,48.8,936.2,1,19431,194301
1944,36,873.7,1,19441,194401
1945,61.3,996.9,1,19451,194501
1946,41.1,898.7,1,19461,194601
1947,32.9,858.8,1,19471,194701
1948,72.4,1050.9,1,19481,194801
1949,42.7,906.5,1,19491,194901
1950,22.8,809.6,1,19501,195001
1951,40.6,896.3,1,19511,195101
1952,30,844.5,1,19521,195201
1953,17.4,783.5,1,19531,195301
1954,44.2,913.8,1,19541,195401
1955,53.2,957.4,1,19551,195501
1956,46.8,926.2,1,19561,195601
1957,62.6,1003.4,1,19571,195701
1958,49,937,1,19581,195801
1959,54.5,964,1,19591,195901
1960,44.6,915.5,1,19601,196001
1961,61.8,999.2,1,19611,196101
1962,61.9,1000,1,19621,196201
1963,77.8,1077.3,1,19631,196301
1964,40.6,896.3,1,19641,196401
1965,45.6,920.7,1,19651,196501
1966,67.7,1028.2,1,19661,196601
1967,29.2,840.5,1,19671,196701
1968,60.6,993.7,1,19681,196801
1969,52.2,952.5,1,19691,196901
1970,76.2,1069.2,1,19701,197001
1971,58.9,985.1,1,19711,197101
1972,43.9,912.2,1,19721,197201
1973,45,917.5,1,19731,197301
1974,34.3,865.4,1,19741,197401
1975,29.5,842.2,1,19751,197501
1976,57.7,979.4,1,19761,197601
1977,100,1185.1,1,19771,197701
1978,75,1063.6,1,19781,197801
1979,80,1087.7,1,19791,197901
1980,40.1,893.7,1,19801,198001
1981,58.1,981.2,1,19811,198101
1982,75.4,1065.3,1,19821,198201
1983,37.4,880.6,1,19831,198301
1984,61.6,998.5,1,19841,198401
1985,73.5,1056.2,1,19851,198501
1986,32.9,858.5,1,19861,198601
1987,46,922.3,1,19871,198701
1988,62.5,1002.7,1,19881,198801
1989,20.8,799.8,1,19891,198901
1990,8.8,741.7,1,19901,199001
1991,46.1,923.1,1,19911,199101
1992,31.1,849.9,1,19921,199201
1993,34.4,865.8,1,19931,199301
1994,65,1014.8,1,19941,199401
1995,30.3,845.9,1,19951,199501
1996,49,937.2,1,19961,199601
1997,46.4,924.2,1,19971,199701
1998,14.4,768.6,1,19981,199801
1999,31.6,852.5,1,19991,199901
2000,36.8,877.8,1,20001,200001
2001,46.2,923.4,1,20011,200101
2002,18.4,788.4,1,20021,200201
2003,50.3,943.2,1,20031,200301
2004,55,966.2,1,20041,200401
2005,33.2,860,1,20051,200501
2006,0,698.7,1,20061,200601
2007,31.2,850.3,1,20071,200701
2008,40,893.4,1,20081,200801
2009,53.6,959.4,1,20091,200901
2010,48.1,932.6,1,20101,201001
2011,54.2,962.2,1,20111,201101
2012,15.8,775.4,1,20121,201201
2013,30.5,847,1,20131,201301
2014,59,985.5,1,20141,201401
2015,43,907.9,1,20151,201501
2016,38.7,887,1,20161,201601
2017,18.9,790.5,1,20171,201701
2018,44.7,916.1,1,20181,201801
1895,100,974.7,2,18952,189502
1896,44.7,753.3,2,18962,189602
1897,45.9,758.4,2,18972,189702
1898,44.2,751.5,2,18982,189802
1899,93.8,949.8,2,18992,189902
1900,66.2,839.6,2,19002,190002
1901,80.7,897.6,2,19012,190102
1902,76.2,879.5,2,19022,190202
1903,63.7,829.4,2,19032,190302
1904,74.1,871,2,19042,190402
1905,96.3,959.7,2,19052,190502
1906,52.9,786.4,2,19062,190602
1907,57.1,803.2,2,19072,190702
1908,64.7,833.4,2,19082,190802
1909,32.8,705.9,2,19092,190902
1910,71.1,858.9,2,19102,191002
1911,43.5,748.7,2,19112,191102
1912,75.9,878.1,2,19122,191202
1913,67.3,843.9,2,19132,191302
1914,80.3,896,2,19142,191402
1915,33.3,708,2,19152,191502
1916,59,810.7,2,19162,191602
1917,70.8,858,2,19172,191702
1918,50.5,776.8,2,19182,191802
1919,50.5,776.5,2,19192,191902
1920,60.1,814.9,2,19202,192002
1921,31.9,702.4,2,19212,192102
1922,44.1,751,2,19222,192202
1923,74.5,872.5,2,19232,192302
1924,53.1,787.1,2,19242,192402
1925,19.7,653.6,2,19252,192502
1926,37.4,724.1,2,19262,192602
1927,19.6,653.2,2,19272,192702
1928,45.5,756.8,2,19282,192802
1929,79,890.8,2,19292,192902
1930,14.4,632.4,2,19302,193002
1931,29.3,692,2,19312,193102
1932,24.5,672.7,2,19322,193202
1933,57.6,805.1,2,19332,193302
1934,77,882.6,2,19342,193402
1935,44.4,752.3,2,19352,193502
1936,94.2,951.5,2,19362,193602
1937,51.5,780.6,2,19372,193702
1938,26.1,679.2,2,19382,193802
1939,51.3,779.8,2,19392,193902
1940,50.7,777.4,2,19402,194002
1941,59.6,813.1,2,19412,194102
1942,68.4,848.3,2,19422,194202
1943,37.7,725.4,2,19432,194302
1944,42.4,744.2,2,19442,194402
1945,42.9,746.4,2,19452,194502
1946,44.9,754.4,2,19462,194602
1947,72.3,863.7,2,19472,194702
1948,59.9,814.1,2,19482,194802
1949,40.5,736.6,2,19492,194902
1950,41.8,741.7,2,19502,195002
1951,43.3,747.8,2,19512,195102
1952,32.6,704.9,2,19522,195202
1953,30.6,696.9,2,19532,195302
1954,7.8,605.8,2,19542,195402
1955,52.9,786.3,2,19552,195502
1956,44.8,753.8,2,19562,195602
1957,20.6,657.2,2,19572,195702
1958,75.5,876.5,2,19582,195802
1959,53.3,787.8,2,19592,195902
1960,57.5,804.6,2,19602,196002
1961,29.3,691.9,2,19612,196102
1962,47.5,764.8,2,19622,196202
1963,67.7,845.4,2,19632,196302
1964,61.5,820.6,2,19642,196402
1965,55.1,794.9,2,19652,196502
1966,58.3,807.7,2,19662,196602
1967,63.7,829.4,2,19672,196702
1968,65.9,838.2,2,19682,196802
1969,53.8,790,2,19692,196902
1970,48,766.5,2,19702,197002
1971,49.6,773,2,19712,197102
